NombreEmpleado,TelefonoEmpleado,NumeroCuenta,Empresa,Comision,NumeroTarjeta,EmpresaTarjeta,VencimientoTarjeta,SaldoGastos
Plácido Haroldo Martorell Manrique,+34646674054,ES3320486945081470732636,InnovaCorp,0.07,4852306652074,Banco Digital,09/27,24763.31
Aurelia Prada-Luna,+34721963560,ES7741989710745172771005,CyberNet,0.1,4623126469089405,Banco Nacional,08/27,44454.66
Leticia Vera Ibarra,+34 729 35 31 80,ES1536547647763181075593,TechNova,0.05,060480782808,Banco Atlántico,08/27,25109.36
Teófila Paniagua-Seco,+34 739 040 255,ES0679171209749015578396,NextGen,0.09,5316475127711077,Banco Rio,09/32,5684.81
Alfonso Armengol Caro,+34 724345724,ES1250224467416037443810,AlphaSystems,0.11,6564248037531456,Banco Central,05/35,2126.88
Jafet Velasco Manzanares,+34987763117,ES4468080344327574368099,BlueWave,0.12,3524784462811175,Banco del Plata,12/29,6046.56
Natalia de Agustí,+34711577870,ES8445410892635655047670,AlphaSystems,0.11,3541587250257694,Banco Digital,06/35,7416.1
Adelaida Peñas,+34 732 23 51 31,ES1451611979359398608783,FutureLink,0.08,4927965353082242112,Banco Andino,03/28,17115.5
Teobaldo Perales Pinedo,+34 692 868 200,ES7806949973928376793411,TechNova,0.05,376209523154816,Banco Patagonico,11/25,30356.69
Anita Ruano,+34 740 661 741,ES0756530668635671241140,TechNova,0.05,4842364716472042,Banco Nacional,03/28,23243.55
David del Vega,+34820 82 64 68,ES9464954504543008418567,AlphaSystems,0.11,503886883621,Banco Nacional,09/27,32874.4
Paulino Agustí-Tejada,+34 739363778,ES9480593060933782372348,FutureLink,0.08,180035551099409,Banco Central,02/29,2564.97
Abigaíl Coello Ugarte,+34809 288 340,ES6708308217275994445000,AlphaSystems,0.11,180044439376104,Banco Nacional,03/33,48242.32
María Ángeles Palacios Correa,+34745 328 847,ES4404529416942652258395,GlobalSoft,0.06,180034295552880,Banco Atlántico,04/26,5327.51
Marciano Vargas Revilla,+34 646 549 864,ES9435583893643233798373,DataWorks,0.04,3533213803582617,Banco Patagonico,07/27,30578.96
Nerea Serra Pereira,+34706 52 54 00,ES5874242183474714120287,NextGen,0.09,6512192987073577,Banco Central,12/34,39717.1
Alberto Ropero Cuevas,+34 966 277 886,ES3832499304520398910011,FutureLink,0.08,6538256754248942,Banco Sur,09/34,41326.59
Emiliano de Bernat,+34711 021 707,ES0215936801956709404832,TechNova,0.05,4094190127440913,Banco Central,01/33,46757.33
Amaro Piñeiro Carreño,+34 730136381,ES5525418175324354048000,InnovaCorp,0.07,4166798370883,Banco Atlántico,07/33,15160.74
Leonor Guzman Pereira,+34 833107007,ES6555594985110681962267,TechNova,0.05,4797691093177132,Banco Rio,11/32,12179.59
Eulalia Batalla Benet,+34 708 99 00 02,ES4715875781366420065963,VisionWare,0.03,30090752959184,Banco Rio,07/34,23260.88
Ambrosio Duran-Calzada,+34 738 154 042,ES0302605653660317420881,VisionWare,0.03,3556788180629984,Banco Sur,12/28,3193.36
Manolo Ferrando Benavente,+34 742718077,ES6979798002652584568090,TechNova,0.05,347723872504757,Banco Rio,02/27,44709.14
Juan Manuel Iglesia Saldaña,+34 729 33 66 29,ES6116647881559294307991,BlueWave,0.12,30142565053711,Banco Ficticio,09/32,29792.68
Tomasa Rodríguez Barranco,+34 724 59 23 57,ES9001797998930448410091,AlphaSystems,0.11,36357328802568,Banco Ficticio,04/28,45129.03
Jonatan Codina Mulet,+34 726 54 92 13,ES2493917909271325404006,VisionWare,0.03,6588832633303410,Banco Nacional,12/27,43957.84
Dorotea Alicia Colomer Cuevas,+34 711 991 514,ES8813007970066850025218,VisionWare,0.03,4343394784503669031,Banco Sur,11/31,18680.1
Flavia Anglada Cabello,+34749 753 385,ES0382568452523607010830,DataWorks,0.04,180000120752722,Banco Andino,07/31,40413.19
Francisco Ramón Arnaiz,+34618 11 32 02,ES0647312548169238438952,CyberNet,0.1,180062121285193,Banco Patagonico,07/26,36164.51
Edmundo Franco Gabaldón,+34 747460089,ES2050735537536472267874,FutureLink,0.08,4163724656105,Banco Atlántico,12/32,23721.34
Hernando Segovia-Portero,+34 910 502 808,ES4473841856898800530419,VisionWare,0.03,4831087991359242013,Banco Rio,11/33,14952.51
Estrella Ramos Amo,+34 715 192 462,ES2000510686735134283955,InnovaCorp,0.07,3512896401131947,Banco Sur,02/30,12622.28
Melchor Sanmartín-Doménech,+34708 833 879,ES5331612239661859910736,NextGen,0.09,501839475024,Banco Andino,04/35,18805.68
Trinidad Lerma Villalobos,+34 748 23 09 81,ES1368002474516243610484,TechNova,0.05,583881672120,Banco Atlántico,12/30,7361.84
Cristian Segarra Rodrigo,+34 701 057 241,ES1738363103483330057283,FutureLink,0.08,675931721897,Banco Digital,12/33,38006.9
Haroldo Valenzuela Rodríguez,+34744 007 583,ES7253917836351396333450,CyberNet,0.1,2246641842916885,Banco Andino,07/26,26004.31
Brígida Lumbreras Baró,+34 722 521 893,ES8643126590974935829502,GlobalSoft,0.06,4670173703212,Banco Andino,07/31,21859.27
Fanny Villalobos Pou,+34726 453 439,ES4811622646874683887570,CyberNet,0.1,213106046355796,Banco Digital,05/30,45072.31
Edgardo Villalba Olivares,+34825 855 128,ES2721161853243304881319,InnovaCorp,0.07,38905763562705,Banco Nacional,08/32,48557.99
Herminio Varela Llano,+34 977 50 01 77,ES9631825037160621553018,CyberNet,0.1,4116489356838175,Banco Digital,12/28,40222.44
Roxana Poza,+34727 11 03 16,ES7576592554361747240647,BlueWave,0.12,4803567530852581671,Banco Atlántico,10/30,6991.51
Gustavo Cortés Piñol,+34 722 313 510,ES4504639420006906726721,GlobalSoft,0.06,38120743321285,Banco Central,07/32,16216.88
Salomé Tejedor Noguera,+34 720 330 498,ES3469403588138533215031,GlobalSoft,0.06,180014127746157,Banco del Plata,07/30,37431.67
Isabel Roselló Bravo,+34712898207,ES8661693738808449350285,FutureLink,0.08,38615655494277,Banco del Plata,02/35,26727.5
Alondra Blazquez,+34 700636155,ES6755722472080651505256,InnovaCorp,0.07,6544697925136742,Banco Patagonico,03/34,24938.35
Jafet Moles Mayo,+34 723 348 265,ES9521419592721268742774,AlphaSystems,0.11,3528872242816451,Banco Nacional,08/26,2495.17
Cruz Bou,+34 713334794,ES9183533914402357331109,VisionWare,0.03,3577146506037173,Banco Sur,04/30,26724.03
Ricardo Barreda Berrocal,+34712904111,ES7990337606990592030116,AlphaSystems,0.11,4395342430543,Banco del Plata,03/33,44827.82
José Mari Narváez Puente,+34731 805 029,ES1127774275087850747335,BlueWave,0.12,503891001763,Banco Ficticio,05/26,39105.0
Heliodoro Pinto Ortega,+34 720 075 138,ES6025598968929377733823,InnovaCorp,0.07,579716097152,Banco Atlántico,11/31,12104.2
Ángela Tirado Adán,+34 909 14 86 62,ES0680393432620565154144,NextGen,0.09,3583243094770315,Banco Atlántico,08/30,37833.3
Bernardo Alberdi Manso,+34688 80 07 18,ES4590801046604548076701,GlobalSoft,0.06,4987477412772906,Banco Rio,07/27,31750.57
Fermín Roselló-Company,+34 909 96 93 75,ES1827494180674372939770,FutureLink,0.08,349875561528139,Banco Rio,05/35,25728.2
Enrique Garay,+34 738 87 25 35,ES0903067188229966528422,DataWorks,0.04,4651438199854548185,Banco Central,04/27,14871.74
Jose Luis Clemente Prat,+34 743 018 340,ES8288826676391913782734,VisionWare,0.03,3585160936716942,Banco Digital,06/31,3304.59
Pancho Montaña-Vives,+34 740 13 92 48,ES5417157922329837740421,GlobalSoft,0.06,5470060548770225,Banco Patagonico,07/35,43354.74
Américo Solera Escolano,+34 741 17 60 91,ES9476172227076368273556,TechNova,0.05,4421779171143,Banco Nacional,06/28,42047.18
Manola Escamilla Alegre,+34 916 504 651,ES8704747298221948276829,AlphaSystems,0.11,6011248358704129,Banco Sur,06/27,46328.15
Odalys Olmedo Coca,+34 681 19 88 59,ES8644489455494981806388,AlphaSystems,0.11,6011445327044732,Banco Rio,12/26,20186.75
Ruth Castañeda-Castrillo,+34 640963715,ES0637841848463672566824,InnovaCorp,0.07,3511064146082914,Banco Atlántico,05/29,13843.25
Lilia Estevez Cuenca,+34 732 595 470,ES0357307404105442608370,BlueWave,0.12,213163415886505,Banco Digital,02/32,31983.94
Martín Álvaro,+34738 48 42 79,ES3253848277430871627910,NextGen,0.09,376991547432019,Banco Sur,04/35,19218.0
Valeria Medina Alemán,+34605 98 66 95,ES0252791198046195772771,AlphaSystems,0.11,180012845678561,Banco Andino,07/31,44746.22
Sebastian Ramirez Mosquera,+34 706645929,ES8366573378986731282707,GlobalSoft,0.06,4601010251518460777,Banco Patagonico,06/29,9442.42
Luis Ángel Isern Gallardo,+34 729 303 033,ES7451466561099110798796,VisionWare,0.03,4735996474568687750,Banco Atlántico,01/27,11877.1
Lázaro Iriarte Palacio,+34 706981672,ES6323599970128302934848,BlueWave,0.12,30139938290145,Banco Andino,06/32,13099.0
Sara Melisa Martinez Segovia,+34 705 075 812,ES2113595360888069703767,InnovaCorp,0.07,180033454771331,Banco Central,10/27,19215.54
Ariel de Prada,+34721 97 77 73,ES5558455122204415270611,VisionWare,0.03,3512998622240307,Banco Digital,05/30,36123.35
Rosalinda del Ríos,+34 660619697,ES0995507198044195384354,InnovaCorp,0.07,4617044463117494,Banco Ficticio,09/28,2939.26
Cecilia Andres Badía,+34 747 83 13 83,ES6358028625014197474661,DataWorks,0.04,2596257539147969,Banco Ficticio,12/34,10642.34
Emigdio Luis Ángel Guardiola Manzano,+34 712 178 951,ES8518087545470976817053,InnovaCorp,0.07,4151762225404,Banco del Plata,10/28,47889.6
Ileana Alondra Acuña Navarro,+34681 875 519,ES2774754194957391555348,DataWorks,0.04,3565065478599834,Banco Central,03/26,26067.42
Natividad Isabela Quintana Exposito,+34 867295194,ES9077007467117717374644,InnovaCorp,0.07,060423092919,Banco Digital,11/32,42639.94
Anunciación Mercader,+34 708970309,ES6267005511745987597195,AlphaSystems,0.11,342256996737545,Banco Central,10/32,24529.35
Porfirio Araujo Bravo,+34736 308 632,ES0694786771966035168533,AlphaSystems,0.11,180052132236079,Banco Ficticio,04/30,47361.92
Pascuala Ricarda Rubio Rocamora,+34908115330,ES5456957704576877496829,InnovaCorp,0.07,4923960450791314648,Banco Patagonico,09/26,17063.06
Chema Iñiguez Vizcaíno,+34 847 909 210,ES2524327175961338849111,CyberNet,0.1,3526258756250935,Banco Patagonico,10/29,24134.91
Felicia Bru Capdevila,+34 713 66 17 73,ES3868593333430210046836,DataWorks,0.04,213116010070339,Banco Ficticio,03/33,14401.98
Martín Aguilar Álamo,+34 705619876,ES6287125601428204104110,VisionWare,0.03,3594770700980992,Banco Rio,01/30,40688.32
Silvestre Dueñas Figueras,+34747517762,ES8122148101395418015954,NextGen,0.09,36708231242385,Banco Atlántico,04/31,23530.97
Verónica Paz Moll,+34 985100556,ES8678020714727903517514,InnovaCorp,0.07,3567758393374477,Banco Andino,11/28,31684.92
Pedro Pareja Alsina,+34638797459,ES9632777820210914704790,CyberNet,0.1,4420647205190,Banco Ficticio,07/30,9649.57
Gil Palomino,+34667 930 658,ES3090345980795933806216,AlphaSystems,0.11,3586710253878102,Banco Central,11/30,2598.3
Teo Ángel Manrique,+34728892988,ES3214604601376969602265,BlueWave,0.12,060485083939,Banco Digital,09/32,18133.12
Camila Gálvez Franch,+34706 77 23 29,ES8524436639750769729618,CyberNet,0.1,213180671500919,Banco Ficticio,09/33,39701.24
Faustino Camps Barbero,+34 952802073,ES4341502279192048620728,GlobalSoft,0.06,4692710106546764,Banco Andino,07/26,19359.46
Maura Almagro Moraleda,+34 729513873,ES1760141665645737367590,CyberNet,0.1,503847216424,Banco Andino,02/32,41076.23
Domitila Aitana Morillo Ledesma,+34 705 55 89 32,ES3365520975003419027253,VisionWare,0.03,6508669890702778,Banco Rio,12/26,23817.53
Cecilia Talavera Mate,+34705201614,ES5405946157121402767222,BlueWave,0.12,4419909907428,Banco Sur,01/32,34885.05
Olegario Amat Tena,+34620 85 12 47,ES5244483200772873167561,CyberNet,0.1,374115029506098,Banco Digital,01/29,4012.18
Lisandro Barceló,+34 716 39 87 11,ES4830280313352687227944,NextGen,0.09,501857784042,Banco Nacional,03/34,12008.35
Olga Rozas Seguí,+34654195289,ES2289110041722738711962,VisionWare,0.03,571593422280,Banco Central,04/30,25088.67
César Severo Santana Poza,+34 738 775 326,ES7575876905567567776100,InnovaCorp,0.07,4882015783300089126,Banco del Plata,08/32,8826.56
Nélida Naranjo Collado,+34741 218 808,ES3639401241214720879506,InnovaCorp,0.07,340208584981607,Banco Andino,02/28,8316.68
Octavio Aitor Almagro Sotelo,+34746 41 03 57,ES9415760633226189451178,GlobalSoft,0.06,38125053117876,Banco Nacional,04/35,18439.47
Erasmo Villaverde Cabrera,+34 741 60 52 61,ES4150885523063151212475,GlobalSoft,0.06,4260756502163,Banco Nacional,07/35,5485.4
Iker Toro-Asenjo,+34 719568603,ES1532144238477549007040,TechNova,0.05,4385182606903592,Banco Sur,05/33,33224.5
Julie Olivé Plaza,+34 701472463,ES1228292960784783794550,DataWorks,0.04,4459861860306,Banco Patagonico,10/30,18820.93
Rosaura Mora-Tirado,+34731 891 846,ES3781266495706291067319,GlobalSoft,0.06,6570879632194175,Banco Digital,08/27,12060.31
Hilda del Martorell,+34 718 004 322,ES2317011820944331029347,InnovaCorp,0.07,4501624035473191,Banco Rio,12/30,41940.6
Ana Sofía Hoyos Villar,+34888 396 155,ES3464439420497501488916,TechNova,0.05,180085867644653,Banco Ficticio,03/34,47381.9
Ruy Fabricio Bermúdez Romeu,+34929 303 535,ES6218514827268601898242,DataWorks,0.04,2234080866015346,Banco Nacional,06/35,1316.17
Severino Sancho Roselló,+34706 391 636,ES0959207011981204758062,BlueWave,0.12,6011279636896700,Banco Andino,10/34,37616.09
Salud Villa Cases,+34 865133586,ES2947217317618690523408,InnovaCorp,0.07,630469910586,Banco Nacional,02/34,7418.85
Rosalva Pol Sainz,+34711 91 47 09,ES3963472249277715683728,BlueWave,0.12,2224764222376516,Banco Patagonico,03/32,7455.21
Flavia Ochoa Fernández,+34 674 820 367,ES1790783194720927052073,InnovaCorp,0.07,180099775976651,Banco del Plata,07/26,2237.63
Nicanor Carballo Galván,+34730156326,ES5975362060090073887620,CyberNet,0.1,3576018396279341,Banco Sur,03/30,44257.94
Nicolás de Amador,+34 745 118 746,ES8473827523664874097328,CyberNet,0.1,30151500660522,Banco Nacional,11/31,39885.09
Leonor Barragán Peñas,+34975 918 877,ES1163198177575320078149,AlphaSystems,0.11,3542790786866678,Banco Atlántico,01/28,7874.63
Camila Bejarano Hervia,+34703 55 96 70,ES4814813093447145713078,InnovaCorp,0.07,2602631016016826,Banco Atlántico,05/29,35526.55
Eustaquio Boada Moraleda,+34 685 65 64 11,ES9627223388746847330084,NextGen,0.09,213115531364544,Banco Central,09/31,31995.77
Roldán Carranza,+34 742 02 70 07,ES1750804950286184522058,InnovaCorp,0.07,213148062671599,Banco Ficticio,02/27,15079.53
Gil del Gálvez,+34 711 979 583,ES1640594317658034841424,TechNova,0.05,5523259672361150,Banco Ficticio,02/27,27347.0
Flavia Alberdi Lumbreras,+34922871485,ES7087773431308893553492,NextGen,0.09,2458705862737274,Banco Sur,03/32,4810.75
Adalberto Valverde Ramos,+34 885043360,ES1721553434803311489608,CyberNet,0.1,3528706418582911,Banco Rio,03/29,28771.2
Elías Vives,+34 709 16 51 34,ES0842942248821231973422,TechNova,0.05,6540109058416432,Banco Central,08/26,49156.64
Pepe Cervera Gelabert,+34 704 53 39 18,ES9343329669814581570844,GlobalSoft,0.06,6011936222051871,Banco Patagonico,03/33,24993.6
Anselma Alarcón,+34608917295,ES8722120139985108186943,AlphaSystems,0.11,213173689624755,Banco Ficticio,09/30,12363.52
Fulgencio de Bolaños,+34717 046 055,ES1259160509248313606658,TechNova,0.05,370319686162559,Banco del Plata,05/26,29223.9
Azahara Gelabert Cuéllar,+34 735 35 67 88,ES9622138985669058099505,TechNova,0.05,3504473943314975,Banco Nacional,08/33,25966.8
Wilfredo Girona Villegas,+34 725 096 700,ES7557387886043860226719,TechNova,0.05,562246307580,Banco Ficticio,02/32,34282.68
Chus Ariza Sureda,+34 737 62 63 74,ES0837992611056888199221,BlueWave,0.12,4207487738210600,Banco Digital,12/31,31399.98
Carolina Cazorla Monreal,+34 746323011,ES7261508350190666420672,DataWorks,0.04,4900308465447639,Banco Patagonico,03/28,30715.4
Arcelia Barceló,+34 663 058 705,ES1145574192597260812181,VisionWare,0.03,3507699328276713,Banco Digital,08/34,15518.61
Ernesto Lozano Gonzalez,+34 722 438 098,ES5396055604472484893688,FutureLink,0.08,4404427328770304418,Banco Atlántico,01/34,38634.49
Candelas Carmona Castañeda,+34 727 413 772,ES9382494300966217436976,BlueWave,0.12,3590990442502631,Banco Nacional,10/27,2116.06
Leocadio Ureña,+34 711 864 462,ES7921812842620870468421,NextGen,0.09,4448954336456,Banco Digital,10/26,32341.88
Arcelia Báez Haro,+34890234774,ES2372796483958583952983,DataWorks,0.04,4603028939049033792,Banco Patagonico,04/28,4874.77
Bernardino Berto Cantón Anaya,+34 621 92 84 76,ES4705378273769860517776,CyberNet,0.1,676247066506,Banco Digital,07/27,49995.34
Asdrubal Colomer Conesa,+34 935 00 47 92,ES4845292575778318848260,InnovaCorp,0.07,3592947039746987,Banco Ficticio,07/32,22274.36
Dolores Niño Oliva,+34737 546 007,ES5829153047283417555458,DataWorks,0.04,5161204217489998,Banco Rio,08/34,22574.86
Luis Amo Antón,+34742 92 66 75,ES5493620555600284870361,CyberNet,0.1,6513103201367264,Banco Patagonico,01/27,9952.92
Tere Beltrán Boix,+34735 45 42 56,ES9633223021589510248265,GlobalSoft,0.06,341825171498049,Banco Rio,07/35,49639.53
José Luis Roma Catalán,+34633635327,ES8216072684395130292038,BlueWave,0.12,213130683781551,Banco Sur,12/29,35723.71
Odalis del Borrego,+34 681928058,ES3113329946763838054958,CyberNet,0.1,4080420846455132,Banco Sur,11/30,34909.9
David Arana Casanova,+34736 939 614,ES1101481613731393590101,BlueWave,0.12,30254135788294,Banco Central,06/31,16979.53
Ariel Ibañez Neira,+34745940824,ES9187726683773667909960,FutureLink,0.08,4993480303547686,Banco Ficticio,09/29,2007.71
Ana Sofía Bru Acuña,+34 748 58 34 24,ES3204974261822598329183,NextGen,0.09,3593211428434500,Banco Nacional,07/27,20523.46
Tito Arturo Fernández Cano,+34700 60 76 09,ES8504490595311465674568,DataWorks,0.04,4717098605954502,Banco Atlántico,03/28,14030.54
Daniela Soria,+34 956985821,ES9391922231401688971513,NextGen,0.09,2333499823861222,Banco del Plata,08/30,49730.35
Evaristo Viñas Santamaría,+34985 78 66 55,ES1558925219870985257931,CyberNet,0.1,4186854810390538116,Banco Central,03/35,16007.79
Violeta Emilia Narváez Lladó,+34 735959348,ES1409480807666184010286,VisionWare,0.03,6533472933348207,Banco Atlántico,03/31,29685.01
Clímaco Zapata Bautista,+34 689 496 030,ES7298611224517433292967,FutureLink,0.08,30399936477157,Banco Sur,06/29,43551.96
Rosa María Cáceres,+34743756099,ES8597723470805920943666,AlphaSystems,0.11,213134237613088,Banco Central,09/27,34035.75
Rosario Anguita Delgado,+34 726 521 285,ES1650970807718884882085,CyberNet,0.1,213131795465836,Banco Ficticio,09/33,34333.03
Morena Bautista-Conde,+34650289920,ES8411135527554831494871,DataWorks,0.04,213186872019724,Banco Digital,10/27,48718.26
Cándido Haro-Luís,+34 732724691,ES2956139161560423715273,VisionWare,0.03,4030275046801396585,Banco del Plata,05/27,28009.68
Arcelia Fiol-Morán,+34 686 946 257,ES9253509447634952160220,AlphaSystems,0.11,213110025146127,Banco Andino,12/34,22208.95
Ismael Recio Mascaró,+34 719872645,ES6718366218457706932015,FutureLink,0.08,4861788869197,Banco del Plata,08/31,37924.76
Elías Bauzà-Castell,+34 925 88 37 09,ES7002600254327542157783,AlphaSystems,0.11,503803310237,Banco Atlántico,02/34,8572.7
Cecilio Ángel Rosselló,+34 729 21 50 75,ES2273457513338569222698,VisionWare,0.03,4629031892247780617,Banco Atlántico,06/29,30734.12
Fortunata Asensio Pinedo,+34 743651216,ES6170636787121367814837,FutureLink,0.08,3513155657871261,Banco Sur,04/28,27464.81
Armando Zaragoza-Alvarez,+34743 00 17 36,ES8254369234411517574888,DataWorks,0.04,30045578242660,Banco Patagonico,05/29,2441.67
Eufemia Garzón Acuña,+34 705314092,ES0351831280211598674306,CyberNet,0.1,6557086570700347,Banco del Plata,09/30,18099.8
Coral Arnaiz Fuster,+34 958850624,ES3106479242768635247840,InnovaCorp,0.07,4119818715085879,Banco del Plata,02/29,29683.7
Lucía Figuerola Camps,+34 720339017,ES7524476668560070817356,TechNova,0.05,4299662851595735,Banco Rio,11/28,44811.29
Fortunato Bonet Molina,+34691091659,ES8750708112935818570902,GlobalSoft,0.06,180002208886786,Banco Rio,12/30,24394.64
Florentino Huerta Exposito,+34705 022 709,ES8581886739890408160694,DataWorks,0.04,375065003634664,Banco Central,04/35,19900.41
Calixta Zamora-Hidalgo,+34 716 11 01 66,ES3302096260969952809277,GlobalSoft,0.06,30434083595715,Banco Patagonico,09/29,29686.4
Hilda Redondo Juan,+34 886 75 50 97,ES5510072918788912188973,InnovaCorp,0.07,30123738533672,Banco Andino,05/35,28285.04
César Múgica-Almazán,+34 703 944 773,ES7842671430477055321435,DataWorks,0.04,30379332484288,Banco Central,02/28,5760.15
Simón Rebollo Adán,+34704 86 58 31,ES3468372966305966336998,AlphaSystems,0.11,340803949166546,Banco Ficticio,05/28,30991.28
Roque Escudero Larrea,+34714836814,ES5306947114038466557144,GlobalSoft,0.06,4758237909048,Banco Central,12/27,33108.48
Mohamed Barrera,+34653492049,ES6689613607790316065686,VisionWare,0.03,630407439730,Banco Sur,07/35,16395.15
Noemí Agullo Agullo,+34840 508 537,ES3936767721426280634886,FutureLink,0.08,3574272660116125,Banco Nacional,01/27,47143.58
Macaria Carbó Zabaleta,+34717 92 71 59,ES5573917488533570133917,VisionWare,0.03,6564037000640372,Banco Andino,09/32,45496.38
Joaquina Pombo Patiño,+34717639857,ES5278498190389873528813,VisionWare,0.03,180013798411190,Banco del Plata,04/30,14752.59
Nuria del Ropero,+34 700 434 613,ES1013254503920279191399,AlphaSystems,0.11,180008954566522,Banco Atlántico,03/27,12594.4
Charo Ballesteros Domínguez,+34 693920815,ES7941594406869887391259,TechNova,0.05,213189279321271,Banco Sur,12/30,48883.03
Leonor Urrutia Barón,+34 716 45 62 97,ES5870523673478918760928,AlphaSystems,0.11,4843985240778584,Banco Atlántico,02/33,17994.58
Calixto Hernán Vega Nadal,+34 712 586 930,ES9732829014494773139848,FutureLink,0.08,676314541670,Banco Nacional,03/30,36163.66
Máxima Luís,+34 738806565,ES4828189023717905600416,NextGen,0.09,3594960611559015,Banco del Plata,01/34,40702.68
